コード,名称,業種,市場
SRRK,ScholarRockHoldingCorp (Scholar Rock Holding Corporation),ヘルスケア,Nasdaq
SRT,"スターテック (StarTek, Inc)",情報技術,NYSE
SSB,サウス・ステート・コーポレーション (South State Corporation),金融,Nasdaq
SSD,シンプソン・マニュファクチャリング (Simpson Manufacturing Co. Inc),資本財,NYSE
SSL,サソール (Sasol Limited),エネルギー,NYSE
SSNC,エスエス・アンド・シー・テクノロジーズ・ホールディングス (SS&C Technologies Holdings Inc),情報技術,Nasdaq
SSP,イー・ダブリュー・スクリップス (The E.W. Scripps Company),電気通信,Nasdaq
SSRM,SSRマイニング (SSR Mining Inc),素材,Nasdaq
SSTI,"ショットスポッター (ShotSpotter, Inc)",情報技術,Nasdaq
SSTK,シャッターストック (Shutterstock Inc),情報技術,NYSE
SSYS,ストラタシス (Stratasys Ltd),情報技術,Nasdaq
ST,センサータ・テクノロジーズ・ホールディング (Sensata Technologies Holding PLC),情報技術,NYSE
STAA,スター・サージカル (STAAR Surgical Company),ヘルスケア,Nasdaq
STBA,エス・アンド・ティー・バンコープ (S&T Bancorp Inc),金融,Nasdaq
STC,スチュワート・インフォメーション・サービシズ (Stewart Information Services Corporation),金融,NYSE
STCN,スティール・コネクト (Steel Connect Inc),資本財,Nasdaq
STE,ステリス (STERIS plc),ヘルスケア,NYSE
STFC,ステート・オート・フィナンシャル (State Auto Financial Corporation),金融,Nasdaq
STIM,ニューロネティクス (Neuronetics Inc),ヘルスケア,Nasdaq
STL,スターリング・バンコープ (Sterling Bancorp),金融,NYSE
STLD,スチール・ダイナミクス (Steel Dynamics Inc),素材,Nasdaq
STMP,スタンプス・ドットコム (Stamps.com Inc),情報技術,Nasdaq
STNE,ストーン　クラスA (StoneCo Ltd),情報技術,Nasdaq
STNG,スコーピオ・タンカーズ (Scorpio Tankers Inc),エネルギー,NYSE
STRA,ストラテジック・エデュケーション (Strategic Education Inc),一般消費財,Nasdaq
STRL,"スターリング・コンストラクション (Sterling Construction Company, Inc)",資本財,Nasdaq
STRO,ストゥロ・バイオファーマ (Sutro Biopharma Inc),ヘルスケア,Nasdaq
STRS,ストラタス・プロパティーズ (Stratus Properties Inc),不動産,Nasdaq
STRT,ストラテック・セキュリティ (Strattec Security Corporation),一般消費財,Nasdaq
STT,ステート・ストリート (State Street Corp.),金融,S&P500
STX,シーゲイト・テクノロジー (Seagate Technology),情報技術,Nasdaq S&P500
STXB,"SpiritofTexasBancsharesI (Spirit of Texas Bancshares, Inc)",金融,Nasdaq
STZ,コンステレーション・ブランズ (Constellation Brands),生活必需品,S&P500
SU,サンコア・エナジー (Suncor Energy Inc),エネルギー,NYSE
SUM,"サミット・マテリアルズ (Summit Materials, Inc)",素材,NYSE
SUP,スーペリア・インダストリーズ・インターナショナル (Superior Industries International Inc),一般消費財,NYSE
SUPN,スーパーナス・ファーマシューティカルズ (Supernus Pharmaceuticals Inc),ヘルスケア,Nasdaq
SUSA,iShares MSCI USA ESG Select ETF (iShares MSCI USA ESG Select ETF),,
SUZ,スザーノ (Suzano S.A),素材,NYSE
SVMK,SVMK (SVMK Inc),情報技術,Nasdaq
SWAV,"ShockwaveMedicalInc (ShockWave Medical, Inc)",ヘルスケア,Nasdaq
SWCH,"SwitchInc (Switch, Inc)",情報技術,NYSE
SWI,ソーラーウィンズ (SolarWinds Corporation),情報技術,NYSE
SWIR,シエラ・ワイヤレス (Sierra Wireless Inc),情報技術,Nasdaq
SWK,スタンレー・ブラック・アンド・デッカー (Stanley Black & Decker),資本財,S&P500
SWKS,スカイワークス・ソリューションズ (Skyworks Solutions),情報技術,Nasdaq S&P500
SWM,シュバイツァー・モーデュイット・インターナショナル (Schweitzer-Mauduit International Inc),素材,NYSE
SWN,サウスウェスタン･エナジー (Southwestern Energy Company),エネルギー,NYSE
SWTX,"SpringWorksTherapeuticsInc (SpringWorks Therapeutics, Inc)",ヘルスケア,Nasdaq
SWX,サウスウェスト･ガス・ホールディングス (Southwest Gas Holdings Inc),公益事業,NYSE
SXC,サンコーク・エナジー (SunCoke Energy Inc),素材,NYSE
SXI,スタンデックス・インターナショナル (Standex International Corporation),資本財,NYSE
SXT,センシェント・テクノロジーズ (Sensient Technologies Corporation),素材,NYSE
SY,SoYoungInternationalInc (So-Young International Inc),電気通信,Nasdaq
SYBT,ストック・ヤーズ・バンコープ (Stock Yards Bancorp Inc),金融,Nasdaq
SYBX,シンロジック (Synlogic Inc),ヘルスケア,Nasdaq
SYF,シンクロニー・ファイナンシャル (Synchrony Financial),金融,S&P500
SYK,ストライカー (Stryker Corp.),ヘルスケア,S&P500
SYKE,サイクス・エンタープライゼス (Sykes Enterprises Incorporated),情報技術,Nasdaq
SYN,シンセティック・バイオロジックス (Synthetic Biologics Inc),ヘルスケア,NYSE
SYNA,シナプティクス (Synaptics Incorporated),情報技術,Nasdaq
SYNC,"シナコール (Synacor, Inc)",情報技術,Nasdaq
SYNH,"シネオス・ヘルス (Syneos Health, Inc)",ヘルスケア,Nasdaq
SYRS,サイロス・ファーマシューティカルズ (Syros Pharmaceuticals Inc),ヘルスケア,Nasdaq
SYX,システマックス (Systemax Inc),一般消費財,NYSE
SYY,シスコ (Sysco Corp.),生活必需品,S&P500
T,AT&T (AT&T Inc.),電気通信,S&P500
TA,トラベルセンターズ・オブ・アメリカ (TravelCenters of America LLC),一般消費財,Nasdaq
TACO,デル・タコ・レストランツ (Del Taco Restaurants Inc),一般消費財,Nasdaq
TACT,トランスアクト・テクノロジーズ (TransAct Technologies Incorporated),情報技術,Nasdaq
TAK,武田薬品工業 (Takeda Pharmaceutical Company Limited),ヘルスケア,NYSE
TAL,TALエデュケーション (TAL Education Group),一般消費財,NYSE
TALO,TalosEnergyInc (Talos Energy Inc),エネルギー,NYSE
TANH,タンテック・ホールディングス (Tantech Holdings Ltd),素材,Nasdaq
TAP,モルソン・クアーズ・ブリューイング (Molson Coors Beverage Company),生活必需品,S&P500
TARA,"アルタラ・セラピューティクス (ArTara Therapeutics, Inc)",,Nasdaq
TARO,タロ・ファーマシューティカル・インダストリーズ (Taro Pharmaceutical Industries Ltd),ヘルスケア,NYSE
TAST,キャロルズ・レストラン・グループ (Carrols Restaurant Group Inc),一般消費財,Nasdaq
TBBK,"バンコープ (The Bancorp, Inc)",金融,Nasdaq
TBI,トゥルーブルー (TrueBlue Inc),資本財,NYSE
TBIO,"TranslateBioInc (Translate Bio, Inc)",ヘルスケア,Nasdaq
TBK,"トライアンフ・バンコープ (Triumph Bancorp, Inc)",金融,Nasdaq
TBNK,テリトリアル・バンコープ (Territorial Bancorp Inc),金融,Nasdaq
TBPH,セラバンス・バイオファーマ (Theravance Biopharma Inc),ヘルスケア,Nasdaq
TCBI,テキサス・キャピタル・バンクシェアーズ (Texas Capital Bancshares Inc),金融,Nasdaq
TCBK,トライコー・バンクシェアーズ (TriCo Bancshares),金融,Nasdaq
TCDA,"TricidaInc (Tricida, Inc)",ヘルスケア,Nasdaq
TCF,ティーシーエフ・フィナンシャル (TCF Financial Corporation),金融,NYSE
TCI,"トランスコンチネンタル・リアルティ・インベスターズ (Transcontinental Realty Investors, Inc)",不動産,NYSE
TCMD,タクタイル・システムズ・テクノロジー (Tactile Systems Technology Inc),ヘルスケア,Nasdaq
TCOM,携程旅行網[トリップドットコムグループ (Trip.com Group Limited),一般消費財,Nasdaq
TCON,トラコン・ファーマシューティカルズ (TRACON Pharmaceuticals Inc),ヘルスケア,Nasdaq
TCRR,TCR2TherapeuticsInc (TCR2 Therapeutics Inc),ヘルスケア,Nasdaq
TCS,ザ・コンテナ・ストア・グループ (The Container Store Group Inc),一般消費財,NYSE
TCX,トゥカウズ　クラスA (Tucows Inc),情報技術,Nasdaq
TD,トロント・ドミニオン・バンク (The Toronto-Dominion Bank),金融,NYSE
TDAC,TridentAcquisitionsCorp (Trident Acquisitions Corp),,Nasdaq
TDC,テラデータ (Teradata Corporation),情報技術,NYSE
TDG,トランスダイムグループ (TransDigm Group),資本財,S&P500
TDOC,テラドック・ヘルス (Teladoc Health Inc),情報技術,NYSE
TDS,コンテイナー・ストア・グループ (Telephone and Data Systems Inc),電気通信,NYSE
TDW,タイドウォーター (Tidewater Inc),エネルギー,NYSE
TDY,テレダイン･テクノロジーズ (Teledyne Technologies),資本財,NYSE
TEAM,アトラシアン (Atlassian Corporation Plc),情報技術,Nasdaq
TECH,テクネ (Bio-Techne Corporation),ヘルスケア,Nasdaq
TECK,テック・リソーシズ (Teck Resources Limited),素材,NYSE
TECL,Direxion Daily Technology Bull 3X Shares (Direxion Daily Technology Bull 3X Shares),,
TECS,Direxion Daily Technology Bear 3X Shares (Direxion Daily Technology Bear 3X Shares),,
TEF,テレフォニカ (Telefﾃｳnica S.A),電気通信,NYSE
TEL,TEコネクティビティ (TE Connectivity Ltd.),情報技術,S&P500
TELA,"TelaBioInc (TELA Bio, Inc)",ヘルスケア,Nasdaq
TELL,テルリアン (Tellurian Inc),エネルギー,Nasdaq
TEN,テネコ (Tenneco Inc),一般消費財,NYSE
TENB,テナブル・ホールディングス (Tenable Holdings Inc),情報技術,Nasdaq
TER,テラダイン (Teradyne),情報技術,Nasdaq NYSE
TERP,テラフォーム・パワー　クラスA (TerraForm Power Inc),公益事業,Nasdaq
TESS,テスコ・テクノロジーズ (TESSCO Technologies Incorporated),情報技術,Nasdaq
TEUM,ペアテウム (Pareteum Corporation),電気通信,NYSE
TEVA,テバ・ファーマシューティカルズ・インダストリーズ (Teva Pharmaceutical Industries Limited),ヘルスケア,NYSE
TEX,テレックス (Terex Corporation),資本財,NYSE
TFC,トゥルイスト・ファイナンシャル (Truist Financial),金融,NYSE
TFFP,"TFFPharmaceuticalsInc (TFF Pharmaceuticals, Inc)",ヘルスケア,Nasdaq
TFSL,ティーエフエス・フィナンシャル (TFS Financial Corporation),金融,Nasdaq
TFX,テレフレックス (Teleflex),ヘルスケア,NYSE
TG,トレデガー (Tredegar Corporation),資本財,NYSE
TGA,トランスグローブ･エナジー (TransGlobe Energy Corporation),エネルギー,Nasdaq
TGH,テクステイナー・グループ・ホールディングス (Textainer Group Holdings Limited),資本財,NYSE
TGI,トライアンフ･グループ (Triumph Group Inc),資本財,NYSE
TGLS,テクノグラス (Tecnoglass Inc),素材,Nasdaq
TGNA,テグナ (TEGNA Inc),電気通信,NYSE
TGP,ティーケイLNGパートナーズ (Teekay LNG Partners L.P),エネルギー,NYSE
TGT,ターゲット (Target Corp.),一般消費財,S&P500
TGTX,ティージー・セラピューティクス (TG Therapeutics Inc),ヘルスケア,Nasdaq
TH,TargetHospitalityCorp (Target Hospitality Corp),一般消費財,Nasdaq
THCA,TuscanHoldingsCorpII (Tuscan Holdings Corp. II),,Nasdaq
THCB,TuscanHoldingsCorp (Tuscan Holdings Corp),,Nasdaq
THD,iShares MSCI Thailand Capped ETF (iShares MSCI Thailand Capped ETF),,
THFF,ファースト・フィナンシャル (First Financial Corporation),金融,Nasdaq
THG,ハノーバー・インシュアランス・グループ (The Hanover Insurance Group Inc),金融,NYSE
THMO,"サーモジェネシス・ホールディングス (ThermoGenesis Holdings, Inc)",ヘルスケア,Nasdaq
THO,ソーア･インダストリーズ (Thor Industries Inc),一般消費財,NYSE
THR,サーモン・グループ・ホールディングス (Thermon Group Holdings Inc),資本財,NYSE
THRM,ジェンサーム (Gentherm Incorporated),一般消費財,Nasdaq
THS,ツリーハウス・フーズ (TreeHouse Foods Inc),生活必需品,NYSE
TIF,ティファニー (Tiffany & Co.),一般消費財,S&P500
TILE,インターフェース (Interface Inc),一般消費財,Nasdaq
TIP,iShares TIPS Bond ETF (iShares TIPS Bond ETF),,
TIPT,ティップツリー (Tiptree Inc),金融,Nasdaq
TISI,ティーム (Team Inc),資本財,NYSE
TITN,タイタン・マシーナリー (Titan Machinery Inc),資本財,Nasdaq
TJX,TJX (TJX Companies Inc.),一般消費財,S&P500
TKR,ティムケン (The Timken Company),資本財,NYSE
TLGT,テリジェント (Teligent Inc),ヘルスケア,Nasdaq
TLRD,テーラード・ブランズ (Tailored Brands Inc),一般消費財,NYSE
TLRY,ティルレイ (Tilray Inc),ヘルスケア,Nasdaq
TLT,iShares 20+ Year Treasury Bond ETF (iShares 20+ Year Treasury Bond ETF),,
TLYS,ティリーズ (Tillys Inc),一般消費財,NYSE
TMDX,"TransMedicsGroupInc (TransMedics Group, Inc)",ヘルスケア,Nasdaq
TME,テンセント・ミュージック・エンターテイメント (Tencent Music Entertainment Group),情報技術,NYSE
TMF,Direxion Daily 20+ Year Treasury Bull 3X Shares (Direxion Daily 20+ Year Treasury Bull 3X Shares),,
TMHC,テイラー・モリソン・ホーム クラスA (Taylor Morrison Home Corporation),一般消費財,NYSE
TMO,サーモ・フィッシャー・サイエンティフィック (Thermo Fisher Scientific),ヘルスケア,S&P500
TMP,トンプキンズ・フィナンシャル (Tompkins Financial Corporation),金融,NYSE
TMST,ティムケン・スチール (TimkenSteel Corporation),素材,NYSE
TMUS,Ｔモバイル (T-Mobile US Inc),電気通信,Nasdaq
TMV,Direxion Daily 20+ Year Treasury Bear 3X Shares (Direxion Daily 20+ Year Treasury Bear 3X Shares),,
TNA,Direxion Daily Small Cap Bull 3X Shares (Direxion Daily Small Cap Bull 3X Shares),,
TNAV,テレナブ (Telenav Inc),情報技術,Nasdaq
TNC,テナントカンパニー (Tennant Company),資本財,NYSE
TNDM,タンデム・ダイアベティス・ケア (Tandem Diabetes Care Inc),ヘルスケア,Nasdaq
TNET,"トライネット・グループ (TriNet Group, Inc)",資本財,NYSE
TNP,ツァコス・エナジー・ナビゲーション (Tsakos Energy Navigation Limited),エネルギー,NYSE
TNXP,トニックス・ファーマシューティカルズ・ホールディングス (Tonix Pharmaceuticals Holding Corp),ヘルスケア,Nasdaq
TOK,iShares MSCI Kokusai ETF (iShares MSCI Kokusai ETF),,
TOL,トール・ブラザーズ (Toll Brothers Inc),一般消費財,NYSE
TOTL,SPDR DoubleLine Total Return Tactical ETF (SPDR DoubleLine Total Return Tactical ETF),,
TOWN,タウン・バンク (TowneBank),金融,Nasdaq
TPB,ターニング・ポイント・ブランズ (Turning Point Brands Inc),生活必需品,NYSE
TPC,チューター・ペリーニ (Tutor Perini Corporation),資本財,NYSE
TPH,ＴＲＩポワント・グループ (TRI Pointe Group Inc),一般消費財,NYSE
TPIC,ＴＰＩコンポジット (TPI Composites Inc),資本財,Nasdaq
TPR,"タペストリー (Tapestry, Inc.)",一般消費財,S&P500
TPRE,サードポイント･リインシュアランス (Third Point Reinsurance Ltd),金融,NYSE
TPTX,"TurningPointTherapeuticsI (Turning Point Therapeutics, Inc)",ヘルスケア,Nasdaq
TPX,テンピュール・シーリー・インターナショナル (Tempur Sealy International Inc),一般消費財,NYSE
TR,トッツィー・ロール・インダストリーズ (Tootsie Roll Industries Inc),生活必需品,NYSE
TRC,テジョン・ランチ (Tejon Ranch Co),不動産,NYSE
TREE,レンディングツリー (LendingTree Inc),金融,Nasdaq
TREX,トレックス・カンパニー (Trex Company Inc),素材,NYSE
TRGP,タルガ・リソーシズ (Targa Resources Corp),エネルギー,NYSE
TRHC,タブラ・ラサ・ヘルスケア (Tabula Rasa HealthCare Inc),情報技術,Nasdaq
TRI,トムソン･ロイター (Thomson Reuters Corporation),金融,NYSE
TRIP,トリップアドバイザー (TripAdvisor),電気通信,Nasdaq S&P500
TRMB,トリンブル (Trimble Inc),情報技術,Nasdaq
TRMK,トラストマーク (Trustmark Corporation),金融,Nasdaq
TRN,トリニティ･インダストリーズ (Trinity Industries Inc),資本財,NYSE
TRNS,"トランスキャット (Transcat, Inc)",資本財,Nasdaq
TROW,Tロウ・プライス・グループ (T. Rowe Price Group),金融,Nasdaq S&P500
TROX,TronoxHoldingsPLC (Tronox Holdings plc),素材,NYSE
TRP,トランスカナダ (TransCanada Corporation),エネルギー,NYSE
TRQ,ターコイズ・ヒル・リソーシズ (Turquoise Hill Resources Ltd),素材,NYSE
TRS,トライマス (TriMas Corporation),資本財,Nasdaq
TRST,トラストコ・バンク・コープ・ニューヨーク (TrustCo Bank Corp NY),金融,Nasdaq
TRT,トリオテック・インターナショナル (Trio-Tech International),情報技術,NYSE
TRTN,トリトン・インターナショナル (Triton International Limited),資本財,NYSE
TRU,トランス・ユニオン (TransUnion),資本財,NYSE
TRUE,トゥルーカー (TrueCar Inc),情報技術,Nasdaq
TRUP,トゥルーパニオン (Trupanion Inc),金融,Nasdaq
TRV,トラベラーズ (The Travelers Companies Inc.),金融,NYダウ S&P500
TRVG,トリバゴ (trivago N.V),一般消費財,Nasdaq
TRVN,トレヴィーナ (Trevena Inc),ヘルスケア,Nasdaq
TRWH,"ツイン・リバー・ワールドワイド・ホールディング (Twin River Worldwide Holdings, Inc)",一般消費財,NYSE
TRXC,トランスエンテリックス (TransEnterix Inc),ヘルスケア,NYSE
TS,テナリス (Tenaris S.A),エネルギー,NYSE
TSBK,"ティンバーランド・バンコープ (Timberland Bancorp, Inc)",金融,Nasdaq
TSC,"トライステート・キャピタル・ホールディングス (TriState Capital Holdings, Inc)",金融,Nasdaq
TSCO,トラクター・サプライ (Tractor Supply Company),一般消費財,Nasdaq S&P500
TSE,トリンセオ (Trinseo S.A),一般消費財,NYSE
TSEM,タワー・セミコンダクター (Tower Semiconductor Ltd),情報技術,Nasdaq
TSLA,テスラ (Tesla Inc),一般消費財,Nasdaq
TSM,台湾積体電路製造[TSMC/台湾セ (Taiwan Semiconductor Manufacturing Company Limited),情報技術,NYSE
TSN,タイソン・フーズ (Tyson Foods),生活必需品,S&P500
TSQ,タウンスクエア・メディア クラスA (Townsquare Media Inc),電気通信,NYSE
TSRI,ＴＳＲ (TSR Inc),情報技術,Nasdaq
TT,トレイン・テクノロジーズ (Trane Technologies plc),資本財,NYSE
TTC,トロ (The Toro Company),資本財,NYSE
TTD,トレード・デスク　クラスA (The Trade Desk Inc),情報技術,Nasdaq
TTEC,TTECホールディングス (TTEC Holdings Inc),資本財,Nasdaq
TTEK,テトラ・テック (Tetra Tech Inc),資本財,Nasdaq
TTGT,テックターゲット (TechTarget Inc),情報技術,Nasdaq
TTM,タタ・モーターズ (Tata Motors Limited),一般消費財,NYSE
TTMI,ティーティーエム・テクノロジーズ (TTM Technologies Inc),情報技術,Nasdaq
TTNP,タイタン・ファーマシューティカルズ (Titan Pharmaceuticals Inc),ヘルスケア,Nasdaq
TTOO,Ｔ２バイオシステムズ (T2 Biosystems Inc),ヘルスケア,Nasdaq
TTWO,テイクツー・インタラクティブ・ソフトウエア (Take-Two Interactive),電気通信,Nasdaq S&P500
TUFN,TufinSoftwareTechnologies (Tufin Software Technologies Ltd),情報技術,NYSE
TUR,iShares MSCI Turkey ETF (iShares MSCI Turkey ETF),,
TUSK,マンモス・エナジー・サービス (Mammoth Energy Services Inc),エネルギー,Nasdaq
TVTY,ティビティ・ヘルス (Tivity Health Inc),ヘルスケア,Nasdaq
TW,TradewebMarketsInc (Tradeweb Markets Inc),金融,Nasdaq
TWIN,ツイン・ディスク (Twin Disc Incorporated),資本財,Nasdaq
TWLO,トゥイリオ　クラスA (Twilio Inc),情報技術,NYSE
TWNK,ホステス・ブランズ (Hostess Brands Inc),生活必需品,Nasdaq
TWOU,トゥーユー (2U Inc),情報技術,Nasdaq
TWST,TwistBioscienceCorp (Twist Bioscience Corporation),ヘルスケア,Nasdaq
TWTR,"ツイッター (Twitter, Inc.)",電気通信,S&P500
TX,テルニウム (Ternium S.A),素材,NYSE
TXG,"10XGenomicsInc (10x Genomics, Inc)",ヘルスケア,Nasdaq
TXMD,セラピューティクスエムディー (TherapeuticsMD Inc),ヘルスケア,Nasdaq
TXN,テキサス・インスツルメンツ (Texas Instruments),情報技術,Nasdaq S&P500
TXRH,テキサス・ロードハウス (Texas Roadhouse Inc),一般消費財,Nasdaq
TXT,テクストロン (Textron Inc.),資本財,S&P500
TYL,タイラー・テクノロジーズ (Tyler Technologies),情報技術,NYSE
TZA,Direxion Daily Small Cap Bear 3X Shares (Direxion Daily Small Cap Bear 3X Shares),,
TZOO,トラベルズー (Travelzoo),情報技術,Nasdaq
UA,アンダーアーマー (Under Armour (Class C)),一般消費財,S&P500
UAA,アンダーアーマー (Under Armour (Class A)),一般消費財,S&P500
UAL,ユナイテッド・コンチネンタル・ホールディングス (United Airlines Holdings),資本財,Nasdaq S&P500
UAVS,エージーイーグル・エアリアル・システムズ (AgEagle Aerial Systems Inc),情報技術,NYSE
UBER,"ウーバー・テクノロジーズ (Uber Technologies, Inc)",資本財,NYSE
UBOT,"Direxion Daily Robotics, Artificial Intelligence & (Direxion Daily Robotics, Artificial Intelligence &)",,
UBS,UBSグループ (UBS Group AG),金融,NYSE
UBSI,ユナイテッド・バンクシェアーズ (United Bankshares Inc),金融,Nasdaq
UBX,ユニティー・バイオテクノロジー (Unity Biotechnology Inc),ヘルスケア,Nasdaq
UCBI,ユナイテッド・コミュニティー・バンク (United Community Banks Inc),金融,Nasdaq
UCTT,ウルトラ・クリーン・ホールディングス (Ultra Clean Holdings Inc),情報技術,Nasdaq
UEIC,ユニバーサル・エレクトロニクス (Universal Electronics Inc),一般消費財,Nasdaq
UFCS,ユナイテッド・ファイア・グループ (United Fire Group Inc),金融,Nasdaq
UFI,ユニファイ (Unifi Inc),一般消費財,NYSE
UFPI,ユニバーサル・フォレスト・プロダクツ (Universal Forest Products Inc),素材,Nasdaq
UFPT,ユーエフピー・テクノロジーズ (UFP Technologies Inc),素材,Nasdaq
UFS,ドムタール (Domtar Corporation),素材,NYSE
UG,ユナイテッド･ガーディアン (United-Guardian Inc),生活必需品,Nasdaq
UGI,ユージーアイ (UGI Corporation),公益事業,NYSE
UGP,ウルトラパール・パルティシパソエス (Ultrapar Participacoes S.A),エネルギー,NYSE
UHAL,アメルコ (AMERCO),資本財,Nasdaq
UHS,ユニバーサル・ヘルス・サービス (Universal Health Services),ヘルスケア,S&P500
UI,ユビキティ (Ubiquiti Inc),情報技術,NYSE
UIHC,ユナイテッド・インシュアランス・ホールディングス (United Insurance Holdings Corp),金融,Nasdaq
UIS,ユニシス (Unisys Corporation),情報技術,NYSE
UL,ユニリーバ (Unilever PLC),生活必需品,NYSE
ULBI,ウルトラライフ (Ultralife Corporation),資本財,Nasdaq
ULH,ユニバーサル・ロジスティクス・ホールディングス (Universal Logistics Holdings Inc),資本財,Nasdaq
ULTA,アルタ・ビューティー (Ulta Beauty),一般消費財,Nasdaq S&P500
UMBF,ユーエムビー・フィナンシャル (UMB Financial Corporation),金融,Nasdaq
UMC,聯華電子[UMC] (United Microelectronics Corporation),情報技術,NYSE
UMPQ,アンプクア・ホールディングス (Umpqua Holdings Corporation),金融,Nasdaq
UMRX,ユナム・セラピューティクス (Unum Therapeutics Inc),ヘルスケア,Nasdaq
UN,ユニリーバ (Unilever N.V),生活必需品,NYSE
UNB,ユニオン･バンクシェアズ (Union Bankshares Inc),金融,Nasdaq
UNF,ユニファースト (UniFirst Corporation),一般消費財,NYSE
UNFI,ユナイテッド･ナチュラル・フーズ (United Natural Foods Inc),生活必需品,Nasdaq
UNH,ユナイテッドヘルス・グループ (UnitedHealth Group Inc.),ヘルスケア,NYダウ S&P500
UNM,ユーナム・グループ (Unum Group),金融,S&P500
UNP,ユニオン・パシフィック (Union Pacific Corp),資本財,S&P500
UNTY,"ユニティー・バンコープ (Unity Bancorp, Inc)",金融,Nasdaq
UNVR,ユニバー (Univar Inc),素材,NYSE
UONE,"アーバン・ワン (Urban One, Inc)",電気通信,Nasdaq
UPLD,"アップランド・ソフトウエア (Upland Software, Inc)",情報技術,Nasdaq
UPS,ユナイテッド・パーセル・サービス (United Parcel Service),資本財,S&P500
UPWK,アップワーク (Upwork Inc),情報技術,Nasdaq
URBN,アーバン・アウトフィッターズ (Urban Outfitters Inc),一般消費財,Nasdaq
URGN,UroGenPharmaLtd (UroGen Pharma Ltd),ヘルスケア,Nasdaq
URI,"ユナイテッド・レンタルズ (United Rentals, Inc.)",資本財,S&P500
UROV,UrovantSciencesLtd (Urovant Sciences Ltd),ヘルスケア,Nasdaq
USAK,ＵＳＡトラック (USA Truck Inc),資本財,Nasdaq
USAP,ユニバーサル・ステンレス・アンド・アロイ・プロダクツ (Universal Stainless & Alloy Products Inc),その他,Nasdaq
USAS,アメリカズ・シルバー (Americas Silver Corporation),素材,
USB,U.S.バンコープ (U.S. Bancorp),金融,S&P500
USCR,ＵＳコンクリート (U.S. Concrete Inc),素材,Nasdaq
USFD,USフーズ・ホールディング (US Foods Holding Corp),生活必需品,NYSE
USIG,iShares Broad USD Investment Grade Corporate Bond (iShares Broad USD Investment Grade Corporate Bond ),,
USLM,ユナイテッドステイツ・ライム・アンド・ミネラルズ (United States Lime & Minerals Inc),素材,Nasdaq
USM,ユナイテッド・ステイツ・セルラー (United States Cellular Corporation),電気通信,NYSE
USNA,ユサナ・ヘルス・サイエンシズ (USANA Health Sciences Inc),生活必需品,NYSE
USPH,ユー・エス・フィジカルセラピー (U.S. Physical Therapy Inc),ヘルスケア,NYSE
USX,"USXpressEnterprisesInc (U.S. Xpress Enterprises, Inc)",資本財,NYSE
UTHR,ユナイテッド・セラピューティクス (United Therapeutics Corporation),ヘルスケア,Nasdaq
UTI,ユニバーサル・テクニカル・インスティテュート (Universal Technical Institute Inc),一般消費財,NYSE
UTL,ユニティル (Unitil Corporation),公益事業,NYSE
UTMD,ユタ・メディカル・プロダクツ (Utah Medical Products Inc),ヘルスケア,Nasdaq
UTSI,ユーティースターコム・ホールディングス (UTStarcom Holdings Corp),電気通信,Nasdaq
UUUU,エナジー・フュエル (Energy Fuels Inc),素材,NYSE
UVE,ユニバーサル・インシュアランス・ホールディングス (Universal Insurance Holdings Inc),金融,NYSE
UVSP,ユニベスト・コーポレーション・オブ・ペンシルベニア (Univest Corporation of Pennsylvania),金融,Nasdaq
UVV,ユニバーサル (Universal Corporation),生活必需品,NYSE
UXIN,UxinLtd (Uxin Limited),一般消費財,Nasdaq
V,ビザ (Visa Inc.),情報技術,NYダウ S&P500
VAC,マリオット・バケーションズ・ワールドワイド (Marriott Vacations Worldwide Corporation),一般消費財,NYSE
VAL,エンスコ (Valaris plc),エネルギー,NYSE
VALE,ヴァーレ (Vale S.A),素材,NYSE
VALU,バリュー・ライン (Value Line Inc),電気通信,Nasdaq
VAPO,"VapothermInc (Vapotherm, Inc)",ヘルスケア,NYSE
VAR,バリアン・メディカル・システムズ (Varian Medical Systems),ヘルスケア,S&P500
VAW,Vanguard Materials Index Fund ETF Shares (Vanguard Materials Index Fund ETF Shares),,
VB,Vanguard Small-Cap Index Fund ETF Shares (Vanguard Small-Cap Index Fund ETF Shares),,
VBK,Vanguard Small-Cap Growth Index Fund ETF Shares (Vanguard Small-Cap Growth Index Fund ETF Shares),,
VBLT,ヴァスキュラー・バイオジェニックス (Vascular Biogenics Ltd),ヘルスケア,Nasdaq
VBR,Vanguard Small-Cap Value Index Fund ETF Shares (Vanguard Small-Cap Value Index Fund ETF Shares),,
VBTX,"ベリテックス・ホールディングス (Veritex Holdings, Inc)",金融,Nasdaq
VC,ビステオン (Visteon Corporation),一般消費財,Nasdaq
VCEL,ヴェリセル (Vericel Corporation),ヘルスケア,Nasdaq
VCIT,Vanguard Intermediate-Term Corporate Bond Index Fu (Vanguard Intermediate-Term Corporate Bond Index Fu),,
VCLT,Vanguard Long-Term Corporate Bond Index Fund ETF S (Vanguard Long-Term Corporate Bond Index Fund ETF S),,
VCNX,"VaccinexInc (Vaccinex, Inc)",ヘルスケア,Nasdaq
VCR,Vanguard Consumer Discretionary Index Fund ETF Sha (Vanguard Consumer Discretionary Index Fund ETF Sha),,
VCRA,ボセラ・コミュニケーションズ (Vocera Communications Inc),情報技術,NYSE
